removed_label,accuracy,summed_vectors,label,epsilon,layer,g_w
0,0.9815999865531921,"[[ 0.80183919  0.87234762  0.88153361 ...  0.32272081  0.3724105
   0.36641973]
 [ 1.98137227  2.10008736  2.04958817 ...  1.92997286  1.98120625
   1.98382119]
 [-0.02839993 -0.05053196 -0.1288486  ... -0.76973644 -0.77630781
  -0.76426333]
 ...
 [ 2.70254729  2.91383864  2.96389881 ...  2.67701604  2.62001881
   2.67422951]
 [ 0.82340995  0.61363056  0.57122721 ...  0.80845179  0.8264581
   0.80935583]
 [ 0.74092759  0.56969717  0.44041663 ... -0.54621714 -0.54065841
  -0.48004816]]","[23  1  3  4 21  9 14  4  4  6 19  9  3  8 24  5  1 19 14 18 13 23  4 21
 11 14 10 20  8  0  8 14 10  2 14  8  2 18  4  4  0 18 24  0 15 14  9 14
  2  9  2 24  6 14  3 23  9  9  5  7  9  3  8 10 10 14  1  9 14 21  1 23
 15  2 24  3 14  4 23 14  8 23  8 10 14  7 21 14  2  6  5  4  1  8 14 10
  1 21  7  4  8 20  4  4  0  9  2 12 18 24 14 10  2  3  7 14 15  9  3 24
  1  5 24  2  8 18  2 19  5 23 19  4  5  4  1  8 15 18  8  4  7  3 21  5
  4 24 21  8 22  7 12  8  3  5 10  4 20 23  9 10  2  4 24  8  8  3  1 10
 12 24  2  3  9 18  9 22 24 23 18 15 12  8  2  4  0 18  1  0  7 23 14 10
  7 10  4 11 11 11 24 24 18 21  3  0 14 21  7  6 23  5 18  7 24 25 23  8
 23 22  7 23  0 24  6  3 19  9 12 20  0  4 24 15 24 18  3  9  2  4  6  3
 14 24  1  3  0  7  4  2  8  9  6  2  4 10 19  2 14 20 10 18 20  1  6  3
 23 10 23 22 20 23 24 11 22  7  0 18  9  7  5  7 11  6  5 12 11 24  4  3
 24 12 18 21  3 24 15 23  8 24  3  3 15 18  7 14 11  4  7  3 24  7  3 10
  8  4 15 25  2 23 14  9 24  5  7  7 12 20 14 21  1  7  9 11 18 10  4 24
 20 24  3 14 19  5 17  4  7  6 10  7  9 21 15 14 21  4 21 21 18 12 21 17
 20 25  7  7  5  3  9 19  5  0 15  9  3  4 13 21 24  3 10  2  2  8 12  8
 11 21 14  7  4  6  7 24  9 22 18 10  2  8 24 10  3 10  6  2  6  2  0  7
  3  2 13  1  3 10  9  4 21  3 19  7  2 11 12 10  1 11 23  8 14 15  3  8
  1  2 23  4 14  2 23 24  3 14 13 14  0  1 24  2  4  7 15  8 11  8 14  9
  3  2 24 18 18 15 20 21 11 18 14  5  3 15  2  4 14 10 15  4 13 21 21  8
 18 23 14 14  3  7 14 21 10 12 21  1  9 11 14 16 12 10  1  8 18 18 15 25
  7 19 11  9 19 15  8 19]",26,0,w
1,0.9742000102996826,"[[ 0.80183919  0.87234762  0.88153361 ...  0.32272081  0.3724105
   0.36641973]
 [ 1.98137227  2.10008736  2.04958817 ...  1.92997286  1.98120625
   1.98382119]
 [-0.02839993 -0.05053196 -0.1288486  ... -0.76973644 -0.77630781
  -0.76426333]
 ...
 [ 2.70254729  2.91383864  2.96389881 ...  2.67701604  2.62001881
   2.67422951]
 [ 0.82340995  0.61363056  0.57122721 ...  0.80845179  0.8264581
   0.80935583]
 [ 0.74092759  0.56969717  0.44041663 ... -0.54621714 -0.54065841
  -0.48004816]]","[23  1  3  4 21  9 14  4  4  6 19  9  3  8 24  5  1 19 14 18 13 23  4 21
 11 14 10 20  8  0  8 14 10  2 14  8  2 18  4  4  0 18 24  0 15 14  9 14
  2  9  2 24  6 14  3 23  9  9  5  7  9  3  8 10 10 14  1  9 14 21  1 23
 15  2 24  3 14  4 23 14  8 23  8 10 14  7 21 14  2  6  5  4  1  8 14 10
  1 21  7  4  8 20  4  4  0  9  2 12 18 24 14 10  2  3  7 14 15  9  3 24
  1  5 24  2  8 18  2 19  5 23 19  4  5  4  1  8 15 18  8  4  7  3 21  5
  4 24 21  8 22  7 12  8  3  5 10  4 20 23  9 10  2  4 24  8  8  3  1 10
 12 24  2  3  9 18  9 22 24 23 18 15 12  8  2  4  0 18  1  0  7 23 14 10
  7 10  4 11 11 11 24 24 18 21  3  0 14 21  7  6 23  5 18  7 24 25 23  8
 23 22  7 23  0 24  6  3 19  9 12 20  0  4 24 15 24 18  3  9  2  4  6  3
 14 24  1  3  0  7  4  2  8  9  6  2  4 10 19  2 14 20 10 18 20  1  6  3
 23 10 23 22 20 23 24 11 22  7  0 18  9  7  5  7 11  6  5 12 11 24  4  3
 24 12 18 21  3 24 15 23  8 24  3  3 15 18  7 14 11  4  7  3 24  7  3 10
  8  4 15 25  2 23 14  9 24  5  7  7 12 20 14 21  1  7  9 11 18 10  4 24
 20 24  3 14 19  5 17  4  7  6 10  7  9 21 15 14 21  4 21 21 18 12 21 17
 20 25  7  7  5  3  9 19  5  0 15  9  3  4 13 21 24  3 10  2  2  8 12  8
 11 21 14  7  4  6  7 24  9 22 18 10  2  8 24 10  3 10  6  2  6  2  0  7
  3  2 13  1  3 10  9  4 21  3 19  7  2 11 12 10  1 11 23  8 14 15  3  8
  1  2 23  4 14  2 23 24  3 14 13 14  0  1 24  2  4  7 15  8 11  8 14  9
  3  2 24 18 18 15 20 21 11 18 14  5  3 15  2  4 14 10 15  4 13 21 21  8
 18 23 14 14  3  7 14 21 10 12 21  1  9 11 14 16 12 10  1  8 18 18 15 25
  7 19 11  9 19 15  8 19]",26,0,w
2,0.978600025177002,"[[ 0.80183919  0.87234762  0.88153361 ...  0.32272081  0.3724105
   0.36641973]
 [ 1.98137227  2.10008736  2.04958817 ...  1.92997286  1.98120625
   1.98382119]
 [-0.02839993 -0.05053196 -0.1288486  ... -0.76973644 -0.77630781
  -0.76426333]
 ...
 [ 2.70254729  2.91383864  2.96389881 ...  2.67701604  2.62001881
   2.67422951]
 [ 0.82340995  0.61363056  0.57122721 ...  0.80845179  0.8264581
   0.80935583]
 [ 0.74092759  0.56969717  0.44041663 ... -0.54621714 -0.54065841
  -0.48004816]]","[23  1  3  4 21  9 14  4  4  6 19  9  3  8 24  5  1 19 14 18 13 23  4 21
 11 14 10 20  8  0  8 14 10  2 14  8  2 18  4  4  0 18 24  0 15 14  9 14
  2  9  2 24  6 14  3 23  9  9  5  7  9  3  8 10 10 14  1  9 14 21  1 23
 15  2 24  3 14  4 23 14  8 23  8 10 14  7 21 14  2  6  5  4  1  8 14 10
  1 21  7  4  8 20  4  4  0  9  2 12 18 24 14 10  2  3  7 14 15  9  3 24
  1  5 24  2  8 18  2 19  5 23 19  4  5  4  1  8 15 18  8  4  7  3 21  5
  4 24 21  8 22  7 12  8  3  5 10  4 20 23  9 10  2  4 24  8  8  3  1 10
 12 24  2  3  9 18  9 22 24 23 18 15 12  8  2  4  0 18  1  0  7 23 14 10
  7 10  4 11 11 11 24 24 18 21  3  0 14 21  7  6 23  5 18  7 24 25 23  8
 23 22  7 23  0 24  6  3 19  9 12 20  0  4 24 15 24 18  3  9  2  4  6  3
 14 24  1  3  0  7  4  2  8  9  6  2  4 10 19  2 14 20 10 18 20  1  6  3
 23 10 23 22 20 23 24 11 22  7  0 18  9  7  5  7 11  6  5 12 11 24  4  3
 24 12 18 21  3 24 15 23  8 24  3  3 15 18  7 14 11  4  7  3 24  7  3 10
  8  4 15 25  2 23 14  9 24  5  7  7 12 20 14 21  1  7  9 11 18 10  4 24
 20 24  3 14 19  5 17  4  7  6 10  7  9 21 15 14 21  4 21 21 18 12 21 17
 20 25  7  7  5  3  9 19  5  0 15  9  3  4 13 21 24  3 10  2  2  8 12  8
 11 21 14  7  4  6  7 24  9 22 18 10  2  8 24 10  3 10  6  2  6  2  0  7
  3  2 13  1  3 10  9  4 21  3 19  7  2 11 12 10  1 11 23  8 14 15  3  8
  1  2 23  4 14  2 23 24  3 14 13 14  0  1 24  2  4  7 15  8 11  8 14  9
  3  2 24 18 18 15 20 21 11 18 14  5  3 15  2  4 14 10 15  4 13 21 21  8
 18 23 14 14  3  7 14 21 10 12 21  1  9 11 14 16 12 10  1  8 18 18 15 25
  7 19 11  9 19 15  8 19]",26,0,w
3,0.978600025177002,"[[ 0.80183919  0.87234762  0.88153361 ...  0.32272081  0.3724105
   0.36641973]
 [ 1.98137227  2.10008736  2.04958817 ...  1.92997286  1.98120625
   1.98382119]
 [-0.02839993 -0.05053196 -0.1288486  ... -0.76973644 -0.77630781
  -0.76426333]
 ...
 [ 2.70254729  2.91383864  2.96389881 ...  2.67701604  2.62001881
   2.67422951]
 [ 0.82340995  0.61363056  0.57122721 ...  0.80845179  0.8264581
   0.80935583]
 [ 0.74092759  0.56969717  0.44041663 ... -0.54621714 -0.54065841
  -0.48004816]]","[23  1  3  4 21  9 14  4  4  6 19  9  3  8 24  5  1 19 14 18 13 23  4 21
 11 14 10 20  8  0  8 14 10  2 14  8  2 18  4  4  0 18 24  0 15 14  9 14
  2  9  2 24  6 14  3 23  9  9  5  7  9  3  8 10 10 14  1  9 14 21  1 23
 15  2 24  3 14  4 23 14  8 23  8 10 14  7 21 14  2  6  5  4  1  8 14 10
  1 21  7  4  8 20  4  4  0  9  2 12 18 24 14 10  2  3  7 14 15  9  3 24
  1  5 24  2  8 18  2 19  5 23 19  4  5  4  1  8 15 18  8  4  7  3 21  5
  4 24 21  8 22  7 12  8  3  5 10  4 20 23  9 10  2  4 24  8  8  3  1 10
 12 24  2  3  9 18  9 22 24 23 18 15 12  8  2  4  0 18  1  0  7 23 14 10
  7 10  4 11 11 11 24 24 18 21  3  0 14 21  7  6 23  5 18  7 24 25 23  8
 23 22  7 23  0 24  6  3 19  9 12 20  0  4 24 15 24 18  3  9  2  4  6  3
 14 24  1  3  0  7  4  2  8  9  6  2  4 10 19  2 14 20 10 18 20  1  6  3
 23 10 23 22 20 23 24 11 22  7  0 18  9  7  5  7 11  6  5 12 11 24  4  3
 24 12 18 21  3 24 15 23  8 24  3  3 15 18  7 14 11  4  7  3 24  7  3 10
  8  4 15 25  2 23 14  9 24  5  7  7 12 20 14 21  1  7  9 11 18 10  4 24
 20 24  3 14 19  5 17  4  7  6 10  7  9 21 15 14 21  4 21 21 18 12 21 17
 20 25  7  7  5  3  9 19  5  0 15  9  3  4 13 21 24  3 10  2  2  8 12  8
 11 21 14  7  4  6  7 24  9 22 18 10  2  8 24 10  3 10  6  2  6  2  0  7
  3  2 13  1  3 10  9  4 21  3 19  7  2 11 12 10  1 11 23  8 14 15  3  8
  1  2 23  4 14  2 23 24  3 14 13 14  0  1 24  2  4  7 15  8 11  8 14  9
  3  2 24 18 18 15 20 21 11 18 14  5  3 15  2  4 14 10 15  4 13 21 21  8
 18 23 14 14  3  7 14 21 10 12 21  1  9 11 14 16 12 10  1  8 18 18 15 25
  7 19 11  9 19 15  8 19]",26,0,w
4,0.9753999710083008,"[[ 0.80183919  0.87234762  0.88153361 ...  0.32272081  0.3724105
   0.36641973]
 [ 1.98137227  2.10008736  2.04958817 ...  1.92997286  1.98120625
   1.98382119]
 [-0.02839993 -0.05053196 -0.1288486  ... -0.76973644 -0.77630781
  -0.76426333]
 ...
 [ 2.70254729  2.91383864  2.96389881 ...  2.67701604  2.62001881
   2.67422951]
 [ 0.82340995  0.61363056  0.57122721 ...  0.80845179  0.8264581
   0.80935583]
 [ 0.74092759  0.56969717  0.44041663 ... -0.54621714 -0.54065841
  -0.48004816]]","[23  1  3  4 21  9 14  4  4  6 19  9  3  8 24  5  1 19 14 18 13 23  4 21
 11 14 10 20  8  0  8 14 10  2 14  8  2 18  4  4  0 18 24  0 15 14  9 14
  2  9  2 24  6 14  3 23  9  9  5  7  9  3  8 10 10 14  1  9 14 21  1 23
 15  2 24  3 14  4 23 14  8 23  8 10 14  7 21 14  2  6  5  4  1  8 14 10
  1 21  7  4  8 20  4  4  0  9  2 12 18 24 14 10  2  3  7 14 15  9  3 24
  1  5 24  2  8 18  2 19  5 23 19  4  5  4  1  8 15 18  8  4  7  3 21  5
  4 24 21  8 22  7 12  8  3  5 10  4 20 23  9 10  2  4 24  8  8  3  1 10
 12 24  2  3  9 18  9 22 24 23 18 15 12  8  2  4  0 18  1  0  7 23 14 10
  7 10  4 11 11 11 24 24 18 21  3  0 14 21  7  6 23  5 18  7 24 25 23  8
 23 22  7 23  0 24  6  3 19  9 12 20  0  4 24 15 24 18  3  9  2  4  6  3
 14 24  1  3  0  7  4  2  8  9  6  2  4 10 19  2 14 20 10 18 20  1  6  3
 23 10 23 22 20 23 24 11 22  7  0 18  9  7  5  7 11  6  5 12 11 24  4  3
 24 12 18 21  3 24 15 23  8 24  3  3 15 18  7 14 11  4  7  3 24  7  3 10
  8  4 15 25  2 23 14  9 24  5  7  7 12 20 14 21  1  7  9 11 18 10  4 24
 20 24  3 14 19  5 17  4  7  6 10  7  9 21 15 14 21  4 21 21 18 12 21 17
 20 25  7  7  5  3  9 19  5  0 15  9  3  4 13 21 24  3 10  2  2  8 12  8
 11 21 14  7  4  6  7 24  9 22 18 10  2  8 24 10  3 10  6  2  6  2  0  7
  3  2 13  1  3 10  9  4 21  3 19  7  2 11 12 10  1 11 23  8 14 15  3  8
  1  2 23  4 14  2 23 24  3 14 13 14  0  1 24  2  4  7 15  8 11  8 14  9
  3  2 24 18 18 15 20 21 11 18 14  5  3 15  2  4 14 10 15  4 13 21 21  8
 18 23 14 14  3  7 14 21 10 12 21  1  9 11 14 16 12 10  1  8 18 18 15 25
  7 19 11  9 19 15  8 19]",26,0,w
5,0.9775999784469604,"[[ 0.80183919  0.87234762  0.88153361 ...  0.32272081  0.3724105
   0.36641973]
 [ 1.98137227  2.10008736  2.04958817 ...  1.92997286  1.98120625
   1.98382119]
 [-0.02839993 -0.05053196 -0.1288486  ... -0.76973644 -0.77630781
  -0.76426333]
 ...
 [ 2.70254729  2.91383864  2.96389881 ...  2.67701604  2.62001881
   2.67422951]
 [ 0.82340995  0.61363056  0.57122721 ...  0.80845179  0.8264581
   0.80935583]
 [ 0.74092759  0.56969717  0.44041663 ... -0.54621714 -0.54065841
  -0.48004816]]","[23  1  3  4 21  9 14  4  4  6 19  9  3  8 24  5  1 19 14 18 13 23  4 21
 11 14 10 20  8  0  8 14 10  2 14  8  2 18  4  4  0 18 24  0 15 14  9 14
  2  9  2 24  6 14  3 23  9  9  5  7  9  3  8 10 10 14  1  9 14 21  1 23
 15  2 24  3 14  4 23 14  8 23  8 10 14  7 21 14  2  6  5  4  1  8 14 10
  1 21  7  4  8 20  4  4  0  9  2 12 18 24 14 10  2  3  7 14 15  9  3 24
  1  5 24  2  8 18  2 19  5 23 19  4  5  4  1  8 15 18  8  4  7  3 21  5
  4 24 21  8 22  7 12  8  3  5 10  4 20 23  9 10  2  4 24  8  8  3  1 10
 12 24  2  3  9 18  9 22 24 23 18 15 12  8  2  4  0 18  1  0  7 23 14 10
  7 10  4 11 11 11 24 24 18 21  3  0 14 21  7  6 23  5 18  7 24 25 23  8
 23 22  7 23  0 24  6  3 19  9 12 20  0  4 24 15 24 18  3  9  2  4  6  3
 14 24  1  3  0  7  4  2  8  9  6  2  4 10 19  2 14 20 10 18 20  1  6  3
 23 10 23 22 20 23 24 11 22  7  0 18  9  7  5  7 11  6  5 12 11 24  4  3
 24 12 18 21  3 24 15 23  8 24  3  3 15 18  7 14 11  4  7  3 24  7  3 10
  8  4 15 25  2 23 14  9 24  5  7  7 12 20 14 21  1  7  9 11 18 10  4 24
 20 24  3 14 19  5 17  4  7  6 10  7  9 21 15 14 21  4 21 21 18 12 21 17
 20 25  7  7  5  3  9 19  5  0 15  9  3  4 13 21 24  3 10  2  2  8 12  8
 11 21 14  7  4  6  7 24  9 22 18 10  2  8 24 10  3 10  6  2  6  2  0  7
  3  2 13  1  3 10  9  4 21  3 19  7  2 11 12 10  1 11 23  8 14 15  3  8
  1  2 23  4 14  2 23 24  3 14 13 14  0  1 24  2  4  7 15  8 11  8 14  9
  3  2 24 18 18 15 20 21 11 18 14  5  3 15  2  4 14 10 15  4 13 21 21  8
 18 23 14 14  3  7 14 21 10 12 21  1  9 11 14 16 12 10  1  8 18 18 15 25
  7 19 11  9 19 15  8 19]",26,0,w
6,0.9807999730110168,"[[ 0.80183919  0.87234762  0.88153361 ...  0.32272081  0.3724105
   0.36641973]
 [ 1.98137227  2.10008736  2.04958817 ...  1.92997286  1.98120625
   1.98382119]
 [-0.02839993 -0.05053196 -0.1288486  ... -0.76973644 -0.77630781
  -0.76426333]
 ...
 [ 2.70254729  2.91383864  2.96389881 ...  2.67701604  2.62001881
   2.67422951]
 [ 0.82340995  0.61363056  0.57122721 ...  0.80845179  0.8264581
   0.80935583]
 [ 0.74092759  0.56969717  0.44041663 ... -0.54621714 -0.54065841
  -0.48004816]]","[23  1  3  4 21  9 14  4  4  6 19  9  3  8 24  5  1 19 14 18 13 23  4 21
 11 14 10 20  8  0  8 14 10  2 14  8  2 18  4  4  0 18 24  0 15 14  9 14
  2  9  2 24  6 14  3 23  9  9  5  7  9  3  8 10 10 14  1  9 14 21  1 23
 15  2 24  3 14  4 23 14  8 23  8 10 14  7 21 14  2  6  5  4  1  8 14 10
  1 21  7  4  8 20  4  4  0  9  2 12 18 24 14 10  2  3  7 14 15  9  3 24
  1  5 24  2  8 18  2 19  5 23 19  4  5  4  1  8 15 18  8  4  7  3 21  5
  4 24 21  8 22  7 12  8  3  5 10  4 20 23  9 10  2  4 24  8  8  3  1 10
 12 24  2  3  9 18  9 22 24 23 18 15 12  8  2  4  0 18  1  0  7 23 14 10
  7 10  4 11 11 11 24 24 18 21  3  0 14 21  7  6 23  5 18  7 24 25 23  8
 23 22  7 23  0 24  6  3 19  9 12 20  0  4 24 15 24 18  3  9  2  4  6  3
 14 24  1  3  0  7  4  2  8  9  6  2  4 10 19  2 14 20 10 18 20  1  6  3
 23 10 23 22 20 23 24 11 22  7  0 18  9  7  5  7 11  6  5 12 11 24  4  3
 24 12 18 21  3 24 15 23  8 24  3  3 15 18  7 14 11  4  7  3 24  7  3 10
  8  4 15 25  2 23 14  9 24  5  7  7 12 20 14 21  1  7  9 11 18 10  4 24
 20 24  3 14 19  5 17  4  7  6 10  7  9 21 15 14 21  4 21 21 18 12 21 17
 20 25  7  7  5  3  9 19  5  0 15  9  3  4 13 21 24  3 10  2  2  8 12  8
 11 21 14  7  4  6  7 24  9 22 18 10  2  8 24 10  3 10  6  2  6  2  0  7
  3  2 13  1  3 10  9  4 21  3 19  7  2 11 12 10  1 11 23  8 14 15  3  8
  1  2 23  4 14  2 23 24  3 14 13 14  0  1 24  2  4  7 15  8 11  8 14  9
  3  2 24 18 18 15 20 21 11 18 14  5  3 15  2  4 14 10 15  4 13 21 21  8
 18 23 14 14  3  7 14 21 10 12 21  1  9 11 14 16 12 10  1  8 18 18 15 25
  7 19 11  9 19 15  8 19]",26,0,w
7,0.9733999967575073,"[[ 0.80183919  0.87234762  0.88153361 ...  0.32272081  0.3724105
   0.36641973]
 [ 1.98137227  2.10008736  2.04958817 ...  1.92997286  1.98120625
   1.98382119]
 [-0.02839993 -0.05053196 -0.1288486  ... -0.76973644 -0.77630781
  -0.76426333]
 ...
 [ 2.70254729  2.91383864  2.96389881 ...  2.67701604  2.62001881
   2.67422951]
 [ 0.82340995  0.61363056  0.57122721 ...  0.80845179  0.8264581
   0.80935583]
 [ 0.74092759  0.56969717  0.44041663 ... -0.54621714 -0.54065841
  -0.48004816]]","[23  1  3  4 21  9 14  4  4  6 19  9  3  8 24  5  1 19 14 18 13 23  4 21
 11 14 10 20  8  0  8 14 10  2 14  8  2 18  4  4  0 18 24  0 15 14  9 14
  2  9  2 24  6 14  3 23  9  9  5  7  9  3  8 10 10 14  1  9 14 21  1 23
 15  2 24  3 14  4 23 14  8 23  8 10 14  7 21 14  2  6  5  4  1  8 14 10
  1 21  7  4  8 20  4  4  0  9  2 12 18 24 14 10  2  3  7 14 15  9  3 24
  1  5 24  2  8 18  2 19  5 23 19  4  5  4  1  8 15 18  8  4  7  3 21  5
  4 24 21  8 22  7 12  8  3  5 10  4 20 23  9 10  2  4 24  8  8  3  1 10
 12 24  2  3  9 18  9 22 24 23 18 15 12  8  2  4  0 18  1  0  7 23 14 10
  7 10  4 11 11 11 24 24 18 21  3  0 14 21  7  6 23  5 18  7 24 25 23  8
 23 22  7 23  0 24  6  3 19  9 12 20  0  4 24 15 24 18  3  9  2  4  6  3
 14 24  1  3  0  7  4  2  8  9  6  2  4 10 19  2 14 20 10 18 20  1  6  3
 23 10 23 22 20 23 24 11 22  7  0 18  9  7  5  7 11  6  5 12 11 24  4  3
 24 12 18 21  3 24 15 23  8 24  3  3 15 18  7 14 11  4  7  3 24  7  3 10
  8  4 15 25  2 23 14  9 24  5  7  7 12 20 14 21  1  7  9 11 18 10  4 24
 20 24  3 14 19  5 17  4  7  6 10  7  9 21 15 14 21  4 21 21 18 12 21 17
 20 25  7  7  5  3  9 19  5  0 15  9  3  4 13 21 24  3 10  2  2  8 12  8
 11 21 14  7  4  6  7 24  9 22 18 10  2  8 24 10  3 10  6  2  6  2  0  7
  3  2 13  1  3 10  9  4 21  3 19  7  2 11 12 10  1 11 23  8 14 15  3  8
  1  2 23  4 14  2 23 24  3 14 13 14  0  1 24  2  4  7 15  8 11  8 14  9
  3  2 24 18 18 15 20 21 11 18 14  5  3 15  2  4 14 10 15  4 13 21 21  8
 18 23 14 14  3  7 14 21 10 12 21  1  9 11 14 16 12 10  1  8 18 18 15 25
  7 19 11  9 19 15  8 19]",26,0,w
8,0.9769999980926514,"[[ 0.80183919  0.87234762  0.88153361 ...  0.32272081  0.3724105
   0.36641973]
 [ 1.98137227  2.10008736  2.04958817 ...  1.92997286  1.98120625
   1.98382119]
 [-0.02839993 -0.05053196 -0.1288486  ... -0.76973644 -0.77630781
  -0.76426333]
 ...
 [ 2.70254729  2.91383864  2.96389881 ...  2.67701604  2.62001881
   2.67422951]
 [ 0.82340995  0.61363056  0.57122721 ...  0.80845179  0.8264581
   0.80935583]
 [ 0.74092759  0.56969717  0.44041663 ... -0.54621714 -0.54065841
  -0.48004816]]","[23  1  3  4 21  9 14  4  4  6 19  9  3  8 24  5  1 19 14 18 13 23  4 21
 11 14 10 20  8  0  8 14 10  2 14  8  2 18  4  4  0 18 24  0 15 14  9 14
  2  9  2 24  6 14  3 23  9  9  5  7  9  3  8 10 10 14  1  9 14 21  1 23
 15  2 24  3 14  4 23 14  8 23  8 10 14  7 21 14  2  6  5  4  1  8 14 10
  1 21  7  4  8 20  4  4  0  9  2 12 18 24 14 10  2  3  7 14 15  9  3 24
  1  5 24  2  8 18  2 19  5 23 19  4  5  4  1  8 15 18  8  4  7  3 21  5
  4 24 21  8 22  7 12  8  3  5 10  4 20 23  9 10  2  4 24  8  8  3  1 10
 12 24  2  3  9 18  9 22 24 23 18 15 12  8  2  4  0 18  1  0  7 23 14 10
  7 10  4 11 11 11 24 24 18 21  3  0 14 21  7  6 23  5 18  7 24 25 23  8
 23 22  7 23  0 24  6  3 19  9 12 20  0  4 24 15 24 18  3  9  2  4  6  3
 14 24  1  3  0  7  4  2  8  9  6  2  4 10 19  2 14 20 10 18 20  1  6  3
 23 10 23 22 20 23 24 11 22  7  0 18  9  7  5  7 11  6  5 12 11 24  4  3
 24 12 18 21  3 24 15 23  8 24  3  3 15 18  7 14 11  4  7  3 24  7  3 10
  8  4 15 25  2 23 14  9 24  5  7  7 12 20 14 21  1  7  9 11 18 10  4 24
 20 24  3 14 19  5 17  4  7  6 10  7  9 21 15 14 21  4 21 21 18 12 21 17
 20 25  7  7  5  3  9 19  5  0 15  9  3  4 13 21 24  3 10  2  2  8 12  8
 11 21 14  7  4  6  7 24  9 22 18 10  2  8 24 10  3 10  6  2  6  2  0  7
  3  2 13  1  3 10  9  4 21  3 19  7  2 11 12 10  1 11 23  8 14 15  3  8
  1  2 23  4 14  2 23 24  3 14 13 14  0  1 24  2  4  7 15  8 11  8 14  9
  3  2 24 18 18 15 20 21 11 18 14  5  3 15  2  4 14 10 15  4 13 21 21  8
 18 23 14 14  3  7 14 21 10 12 21  1  9 11 14 16 12 10  1  8 18 18 15 25
  7 19 11  9 19 15  8 19]",26,0,w
9,0.9811999797821045,"[[ 0.80183919  0.87234762  0.88153361 ...  0.32272081  0.3724105
   0.36641973]
 [ 1.98137227  2.10008736  2.04958817 ...  1.92997286  1.98120625
   1.98382119]
 [-0.02839993 -0.05053196 -0.1288486  ... -0.76973644 -0.77630781
  -0.76426333]
 ...
 [ 2.70254729  2.91383864  2.96389881 ...  2.67701604  2.62001881
   2.67422951]
 [ 0.82340995  0.61363056  0.57122721 ...  0.80845179  0.8264581
   0.80935583]
 [ 0.74092759  0.56969717  0.44041663 ... -0.54621714 -0.54065841
  -0.48004816]]","[23  1  3  4 21  9 14  4  4  6 19  9  3  8 24  5  1 19 14 18 13 23  4 21
 11 14 10 20  8  0  8 14 10  2 14  8  2 18  4  4  0 18 24  0 15 14  9 14
  2  9  2 24  6 14  3 23  9  9  5  7  9  3  8 10 10 14  1  9 14 21  1 23
 15  2 24  3 14  4 23 14  8 23  8 10 14  7 21 14  2  6  5  4  1  8 14 10
  1 21  7  4  8 20  4  4  0  9  2 12 18 24 14 10  2  3  7 14 15  9  3 24
  1  5 24  2  8 18  2 19  5 23 19  4  5  4  1  8 15 18  8  4  7  3 21  5
  4 24 21  8 22  7 12  8  3  5 10  4 20 23  9 10  2  4 24  8  8  3  1 10
 12 24  2  3  9 18  9 22 24 23 18 15 12  8  2  4  0 18  1  0  7 23 14 10
  7 10  4 11 11 11 24 24 18 21  3  0 14 21  7  6 23  5 18  7 24 25 23  8
 23 22  7 23  0 24  6  3 19  9 12 20  0  4 24 15 24 18  3  9  2  4  6  3
 14 24  1  3  0  7  4  2  8  9  6  2  4 10 19  2 14 20 10 18 20  1  6  3
 23 10 23 22 20 23 24 11 22  7  0 18  9  7  5  7 11  6  5 12 11 24  4  3
 24 12 18 21  3 24 15 23  8 24  3  3 15 18  7 14 11  4  7  3 24  7  3 10
  8  4 15 25  2 23 14  9 24  5  7  7 12 20 14 21  1  7  9 11 18 10  4 24
 20 24  3 14 19  5 17  4  7  6 10  7  9 21 15 14 21  4 21 21 18 12 21 17
 20 25  7  7  5  3  9 19  5  0 15  9  3  4 13 21 24  3 10  2  2  8 12  8
 11 21 14  7  4  6  7 24  9 22 18 10  2  8 24 10  3 10  6  2  6  2  0  7
  3  2 13  1  3 10  9  4 21  3 19  7  2 11 12 10  1 11 23  8 14 15  3  8
  1  2 23  4 14  2 23 24  3 14 13 14  0  1 24  2  4  7 15  8 11  8 14  9
  3  2 24 18 18 15 20 21 11 18 14  5  3 15  2  4 14 10 15  4 13 21 21  8
 18 23 14 14  3  7 14 21 10 12 21  1  9 11 14 16 12 10  1  8 18 18 15 25
  7 19 11  9 19 15  8 19]",26,0,w
